Picture,Frag ID,Genotype,file,AOI
42,1758L,1758,1758,1
42,1758B,1758,1758,2
42,1758G,1758,1758,3
42,1758C,1758,1758,4
42,1758O,1758,1758,5
42,1758F,1758,1758,6
42,1758A,1758,1758,7
42,Blank,Blan,1758,8
43,1741A,1741,1741,1
43,1741J,1741,1741,2
43,1741H,1741,1741,3
43,1741F,1741,1741,4
43,1741L,1741,1741,5
43,1741C,1741,1741,6
43,1741M,1741,1741,7
44,1752A,1752,1752_1758_1730,1
44,1752N,1752,1752_1758_1730,2
44,1752H,1752,1752_1758_1730,3
44,1758J,1758,1752_1758_1730,4
44,1730G,1730,1752_1758_1730,5
45,1743I,1743,1736_1725_1743_1752_1745_1748_1739,1
45,1725J,1725,1736_1725_1743_1752_1745_1748_1739,2
45,1736A,1736,1736_1725_1743_1752_1745_1748_1739,3
45,1739C,1739,1736_1725_1743_1752_1745_1748_1739,4
45,1748K,1748,1736_1725_1743_1752_1745_1748_1739,5
45,1745G,1745,1736_1725_1743_1752_1745_1748_1739,6
45,1743J,1743,1736_1725_1743_1752_1745_1748_1739,7
45,1752P,1752,1736_1725_1743_1752_1745_1748_1739,8
46,1757A,1757,1757_1745_1733_1728_1726_1758_1748_1721,1
46,1745L,1745,1757_1745_1733_1728_1726_1758_1748_1721,2
46,1733O,1733,1757_1745_1733_1728_1726_1758_1748_1721,3
46,1728J,1728,1757_1745_1733_1728_1726_1758_1748_1721,4
46,1726E,1726,1757_1745_1733_1728_1726_1758_1748_1721,5
46,1758D,1758,1757_1745_1733_1728_1726_1758_1748_1721,6
46,1748H,1748,1757_1745_1733_1728_1726_1758_1748_1721,7
46,1721B,1721,1757_1745_1733_1728_1726_1758_1748_1721,8
